"Id","Name","ModuleNamespace","Description","BusinessProcessId","SobjectType","IsActive","CreatedById","CreatedDate","LastModifiedById","LastModifiedDate","SystemModstamp","IsDeleted"
"012f4000000FfVLAA0","Veteran","","","019f40000000oZAAAY","Lead","1","005f4000002QF5NAAW","2018-10-16 08:40:41","005f4000004IWOAAA4","2019-04-24 01:05:01","2019-04-24 01:05:01","0"
"012f4000000FfVQAA0","Professional","","","019f40000000oZ5AAI","Lead","1","005f4000002QF5NAAW","2018-10-16 08:41:14","005f4000004IWOAAA4","2019-04-24 01:02:17","2019-04-24 01:02:17","0"
"012f4000000FfVVAA0","Veteran","","","","Contact","1","005f4000002QF5NAAW","2018-10-16 10:57:37","005f4000004IWOAAA4","2019-04-16 17:03:56","2019-04-16 17:03:56","0"
"012f4000000FfVaAAK","Professional","","","","Contact","1","005f4000002QF5NAAW","2018-10-16 10:57:59","005f4000003LLH5AAO","2018-10-23 16:45:13","2018-10-23 16:45:13","0"
"012f4000000zmvuAAA","Hiring Employer","","","","Contact","1","005f4000003r27pAAA","2019-06-25 15:00:26","005f4000003r27pAAA","2019-06-25 15:00:26","2019-06-25 15:00:26","0"
"012f4000000zmvzAAA","Sponsor","","","","Contact","1","005f4000003r27pAAA","2019-06-25 15:00:56","005f4000003r27pAAA","2019-06-25 15:00:56","2019-06-25 15:00:56","0"
"012f4000000zmw4AAA","Volunteer","","","","Contact","1","005f4000003r27pAAA","2019-06-25 15:01:20","005f4000003r27pAAA","2019-06-25 15:01:20","2019-06-25 15:01:20","0"
"012f4000000zmw9AAA","Other","","","","Contact","1","005f4000003r27pAAA","2019-06-25 15:01:49","005f4000003r27pAAA","2019-06-25 15:01:49","2019-06-25 15:01:49","0"
"012f4000000zmwEAAQ","Mentor","","","","Contact","1","005f4000003r27pAAA","2019-06-25 15:02:31","005f4000003r27pAAA","2019-06-25 15:02:31","2019-06-25 15:02:31","0"
"012f4000001AJaNAAW","Grant","","Grant Received","019f40000005OuQAAU","Opportunity","1","005f4000002PEo1AAG","2018-05-20 01:16:58","005f4000002QF5NAAW","2018-10-16 10:49:00","2018-10-16 10:49:00","0"
"012f4000001AJaOAAW","Household Account","","An Account representing a Household containing one or more individuals","","Account","1","005f4000002PEo1AAG","2018-05-20 01:16:58","005f40000042AhBAAU","2019-05-14 20:40:31","2019-05-14 20:40:31","0"
"012f4000001AJaPAAW","Organization","","An Account representing an organization","","Account","1","005f4000002PEo1AAG","2018-05-20 01:16:58","005f40000042AhBAAU","2019-05-14 20:40:31","2019-05-14 20:40:31","0"
"012f4000001AJaQAAW","Donation","","Donation Received","019f40000005OuPAAU","Opportunity","1","005f4000002PEo1AAG","2018-05-20 01:16:58","005f4000002QF5NAAW","2018-10-16 10:49:00","2018-10-16 10:49:00","0"
"012f4000001AJaRAAW","Default","","","","Campaign","1","005f4000002PEo1AAG","2018-05-20 01:16:58","005f4000002PEo1AAG","2018-05-20 01:16:58","2018-05-20 01:16:58","0"
"012f4000001AJaSAAW","Volunteer Campaign","","A campaign specifically used to track Volunteers","","Campaign","1","005f4000002PEo1AAG","2018-05-20 01:16:58","005f4000002PEo1AAG","2018-05-20 01:16:58","2018-05-20 01:16:58","0"
"012f4000001AJaTAAW","Membership","","A membership record type","019f40000005OuPAAU","Opportunity","1","005f4000002PEo1AAG","2018-05-20 01:16:58","005f4000002QF5NAAW","2018-10-16 10:49:00","2018-10-16 10:49:00","0"
"012f4000001AJaUAAW","Internal Zone: Question Record Type","","Record type used to associate Question with a specific zone","","Question","1","005f4000002cd9IAAQ","2018-05-20 01:16:58","005f4000002cd9IAAQ","2018-05-20 01:16:58","2018-05-20 01:16:58","0"
"012f4000001AJaVAAW","Internal Zone: Reply Record Type","","Record type used to associate Reply with a specific zone","","Reply","1","005f4000002cd9IAAQ","2018-05-20 01:16:58","005f4000002cd9IAAQ","2018-05-20 01:16:58","2018-05-20 01:16:58","0"
"012f4000001AJaWAAW","Major Gift","","Large Donation from a Major Donor","019f40000005OuOAAU","Opportunity","1","005f4000002PEo1AAG","2018-05-20 01:16:58","005f4000002QF5NAAW","2018-10-16 10:49:00","2018-10-16 10:49:00","0"
"012f4000001AJaXAAW","Matching Gift","","Matching Donation from an Donor's Employer or other Organization","019f40000005OuPAAU","Opportunity","1","005f4000002PEo1AAG","2018-05-20 01:16:58","005f4000002QF5NAAW","2018-10-16 10:49:00","2018-10-16 10:49:00","0"
"012f4000001AJaYAAW","Internal Ideas: Idea Record Type","","Record Type used to associate ideas with a specific community","","Idea","1","005f4000002PEo1AAG","2018-05-20 01:16:58","005f4000002PEo1AAG","2018-05-20 01:16:58","2018-05-20 01:16:58","0"
"012f4000001AJaZAAW","In-Kind Gift","","Goods or Services received as In-Kind","019f40000005OuRAAU","Opportunity","1","005f4000002PEo1AAG","2018-05-20 01:16:58","005f4000002QF5NAAW","2018-10-16 10:49:00","2018-10-16 10:49:00","0"
